Nome do Medicamento,Validade,Valor,Fabricante
Amoxilina 20mg,25/06/2025,"R$ 9,69",Globo LTDA
Amoxilina 20mg,07/02/2025,"R$ 9,69",Globo LTDA
Amoxilina 20mg,27/05/2024,"R$ 9,69",Globo LTDA
Amoxilina 20mg,04/12/2023,"R$ 9,69",Globo LTDA
Amoxilina 20mg,21/06/2024,"R$ 9,69",Globo LTDA
Amoxilina 20mg,25/04/2024,"R$ 9,69",Globo LTDA
Amoxilina 20mg,03/04/2023,"R$ 9,69",Globo LTDA
Amoxilina 20mg,24/03/2024,"R$ 9,69",Globo LTDA
Amoxilina 20mg,03/05/2023,"R$ 9,69",Globo LTDA
Amoxilina 20mg,31/03/2024,"R$ 9,69",Globo LTDA
Amoxilina 20mg,17/01/2026,"R$ 9,69",Globo LTDA
Amoxilina 20mg,21/04/2024,"R$ 9,69",Globo LTDA
Amoxilina 20mg,24/09/2025,"R$ 9,69",Globo LTDA
Amoxilina 20mg,11/08/2024,"R$ 9,69",
Amoxilina 20mg,02/10/2024,"R$ 9,69",Globo LTDA
Amoxilina 20mg,25/10/2024,"R$ 9,69",Globo LTDA
Amoxilina 20mg,24/05/2024,"R$ 9,69",Globo LTDA
Amoxilina 20mg,18/08/2024,"R$ 9,69",Globo LTDA
Amoxilina 20mg,19/01/2026,"R$ 9,69",
Amoxilina 20mg,10/08/2024,"R$ 9,69",Globo LTDA
Amoxilina 20mg,16/05/2023,"R$ 9,69",Globo LTDA
Amoxilina 20mg,13/09/2025,"R$ 9,69",Globo LTDA
Amoxilina 20mg,13/01/2026,"R$ 9,69",Globo LTDA
Amoxilina 20mg,03/06/2023,"R$ 9,69",Globo LTDA
Amoxilina 20mg,25/03/2024,"R$ 9,69",Globo LTDA
Amoxilina 20mg,08/01/2026,"R$ 9,69",Globo LTDA
Amoxilina 20mg,14/11/2025,"R$ 9,69",Globo LTDA
Amoxilina 20mg,20/07/2025,"R$ 9,69",Globo LTDA
Amoxilina 20mg,30/01/2026,"R$ 9,69",Globo LTDA
Amoxilina 20mg,26/11/2023,"R$ 9,69",Globo LTDA
Amoxilina 20mg,09/12/2023,"R$ 9,69",Globo LTDA
Amoxilina 20mg,11/09/2023,"R$ 9,69",Globo LTDA
Amoxilina 20mg,11/05/2023,"R$ 9,69",Globo LTDA
Amoxilina 20mg,24/08/2024,"R$ 9,69",Globo LTDA
Amoxilina 20mg,23/08/2025,"R$ 9,69",Globo LTDA
Amoxilina 20mg,04/05/2025,"R$ 9,69",Globo LTDA
Amoxilina 20mg,28/02/2025,"R$ 9,69",Globo LTDA
Amoxilina 20mg,04/10/2023,"R$ 9,69",Globo LTDA
Amoxilina 20mg,13/12/2025,"R$ 9,69",Globo LTDA
Amoxilina 20mg,24/11/2023,"R$ 9,69",Globo LTDA
Amoxilina 20mg,19/06/2024,"R$ 9,69",Globo LTDA
Amoxilina 20mg,03/09/2023,"R$ 9,69",Globo LTDA
Amoxilina 20mg,14/03/2026,"R$ 9,69",Globo LTDA
Amoxilina 20mg,29/05/2024,"R$ 9,69",Globo LTDA
Amoxilina 20mg,04/09/2023,"R$ 9,69",Globo LTDA
Amoxilina 20mg,06/12/2023,"R$ 9,69",Globo LTDA
Amoxilina 20mg,12/12/2024,"R$ 9,69",Globo LTDA
Amoxilina 20mg,26/03/2024,"R$ 9,69",Globo LTDA
Amoxilina 20mg,10/09/2024,"R$ 9,69",Globo LTDA
Amoxilina 20mg,09/10/2023,"R$ 9,69",Globo LTDA
Amoxilina 20mg,02/01/2024,"R$ 9,69",Globo LTDA
Amoxilina 20mg,12/07/2025,"R$ 9,69",Globo LTDA
Amoxilina 20mg,03/01/2025,"R$ 9,69",Globo LTDA
Amoxilina 20mg,10/06/2025,"R$ 9,69",Globo LTDA
Amoxilina 20mg,03/11/2024,"R$ 9,69",Globo LTDA
Amoxilina 20mg,22/09/2025,"R$ 9,69",Globo LTDA
Amoxilina 20mg,18/09/2025,"R$ 9,69",Globo LTDA
Amoxilina 20mg,29/04/2024,"R$ 9,69",Globo LTDA
Amoxilina 20mg,27/10/2025,"R$ 9,69",Globo LTDA
Amoxilina 20mg,08/09/2025,"R$ 9,69",Globo LTDA
Amoxilina 20mg,22/10/2023,"R$ 9,69",Globo LTDA
Amoxilina 20mg,22/06/2024,"R$ 9,69",Globo LTDA
Amoxilina 20mg,27/08/2023,"R$ 9,69",Globo LTDA
Amoxilina 20mg,11/01/2025,"R$ 9,69",Globo LTDA
Amoxilina 20mg,07/02/2024,"R$ 9,69",Globo LTDA
Amoxilina 20mg,09/10/2023,"R$ 9,69",Globo LTDA
Amoxilina 20mg,09/02/2025,"R$ 9,69",Globo LTDA
Amoxilina 20mg,13/04/2024,"R$ 9,69",Globo LTDA
Amoxilina 20mg,22/09/2024,"R$ 9,69",Globo LTDA
Amoxilina 20mg,20/12/2025,"R$ 9,69",Globo LTDA
Amoxilina 20mg,15/03/2026,"R$ 9,69",Globo LTDA
Amoxilina 20mg,22/07/2025,"R$ 9,69",Globo LTDA
Amoxilina 20mg,24/07/2024,"R$ 9,69",Globo LTDA
Amoxilina 20mg,06/08/2023,"R$ 9,69",Globo LTDA
Amoxilina 20mg,13/06/2023,"R$ 9,69",Globo LTDA
Amoxilina 20mg,14/02/2024,"R$ 9,69",Globo LTDA
Amoxilina 20mg,17/08/2023,"R$ 9,69",Globo LTDA
Amoxilina 20mg,06/05/2023,"R$ 9,69",Globo LTDA
Amoxilina 20mg,18/01/2025,"R$ 9,69",Globo LTDA
Amoxilina 20mg,16/12/2024,"R$ 9,69",Globo LTDA
Amoxilina 20mg,26/10/2024,"R$ 9,69",Globo LTDA
Amoxilina 20mg,26/01/2026,"R$ 9,69",Globo LTDA
Amoxilina 20mg,19/04/2025,"R$ 9,69",Globo LTDA
Amoxilina 20mg,15/11/2023,"R$ 9,69",Globo LTDA
Amoxilina 20mg,05/12/2023,"R$ 9,69",Globo LTDA
Amoxilina 20mg,25/11/2024,"R$ 9,69",Globo LTDA
Amoxilina 20mg,21/05/2023,"R$ 9,69",Globo LTDA
Amoxilina 20mg,18/05/2025,"R$ 9,69",Globo LTDA
Amoxilina 20mg,18/05/2025,"R$ 9,69",Globo LTDA
Amoxilina 20mg,03/09/2025,"R$ 9,69",Globo LTDA
Amoxilina 20mg,10/09/2023,"R$ 9,69",Globo LTDA
Amoxilina 20mg,13/10/2025,"R$ 9,69",Globo LTDA
Amoxilina 20mg,02/05/2024,"R$ 9,69",Globo LTDA
Amoxilina 20mg,10/12/2024,"R$ 9,69",Globo LTDA
Amoxilina 20mg,04/10/2024,"R$ 9,69",Globo LTDA
Amoxilina 20mg,30/11/2024,"R$ 9,69",Globo LTDA
Amoxilina 20mg,30/08/2023,"R$ 9,69",Globo LTDA
Amoxilina 20mg,07/06/2025,"R$ 9,69",Globo LTDA
Amoxilina 20mg,05/10/2025,"R$ 9,69",Globo LTDA
Amoxilina 20mg,21/03/2025,"R$ 9,69",Globo LTDA
Amoxilina 20mg,30/08/2024,"R$ 9,69",
Amoxilina 20mg,15/01/2026,"R$ 9,69",Kenvue 
Amoxilina 20mg,09/03/2025,"R$ 9,69",Kenvue 
Amoxilina 20mg,30/01/2026,"R$ 9,69",Kenvue 
Amoxilina 20mg,20/11/2025,"R$ 9,69",Kenvue 
Amoxilina 20mg,04/10/2024,"R$ 9,69",Kenvue 
Amoxilina 20mg,04/05/2024,"R$ 9,69",Kenvue 
Amoxilina 20mg,11/09/2025,"R$ 9,69",Kenvue 
Amoxilina 20mg,09/02/2024,"R$ 9,69",Kenvue 
Amoxilina 20mg,11/04/2024,"R$ 9,69",Kenvue 
Amoxilina 20mg,22/08/2025,"R$ 9,69",Kenvue 
Amoxilina 20mg,05/04/2024,"R$ 9,69",Kenvue 
Amoxilina 20mg,30/06/2025,"R$ 9,69",Kenvue 
Amoxilina 20mg,02/10/2023,"R$ 9,69",Kenvue 
Amoxilina 20mg,22/12/2023,"R$ 9,69",Kenvue 
Amoxilina 20mg,20/02/2026,"R$ 9,69",Kenvue 
Amoxilina 20mg,27/08/2023,"R$ 9,69",Kenvue 
Amoxilina 20mg,01/10/2025,"R$ 9,69",Kenvue 
Amoxilina 20mg,05/09/2025,"R$ 9,69",Kenvue 
Amoxilina 20mg,28/08/2025,"R$ 9,69",Kenvue 
Amoxilina 20mg,15/10/2025,"R$ 9,69",Kenvue 
Amoxilina 20mg,16/08/2025,"R$ 9,69",Kenvue 
Amoxilina 20mg,09/02/2026,"R$ 9,69",Kenvue 
Amoxilina 20mg,18/07/2025,"R$ 9,69",Kenvue 
Amoxilina 20mg,20/09/2023,"R$ 9,69",Kenvue 
Amoxilina 20mg,07/12/2025,"R$ 9,69",Kenvue 
Amoxilina 20mg,25/10/2023,"R$ 9,69",Kenvue 
Amoxilina 20mg,27/09/2025,"R$ 9,69",Kenvue 
Amoxilina 20mg,30/06/2023,"R$ 9,69",Kenvue 
Amoxilina 20mg,06/10/2025,"R$ 9,69",Kenvue 
Amoxilina 20mg,01/05/2025,"R$ 9,69",Kenvue 
Amoxilina 20mg,29/10/2023,"R$ 9,69",Kenvue 
Amoxilina 20mg,11/02/2024,"R$ 9,69",Kenvue 
Amoxilina 20mg,31/10/2024,"R$ 9,69",Kenvue 
Amoxilina 20mg,08/08/2023,"R$ 9,69",Kenvue 
Amoxilina 20mg,26/07/2023,"R$ 9,69",Kenvue 
Amoxilina 20mg,25/04/2023,"R$ 9,69",Kenvue 
Amoxilina 20mg,21/07/2025,"R$ 9,69",Kenvue 
Amoxilina 20mg,22/08/2023,"R$ 9,69",Kenvue 
Amoxilina 20mg,22/11/2025,"R$ 9,69",Kenvue 
Amoxilina 20mg,10/02/2025,"R$ 9,69",Kenvue 
Amoxilina 20mg,02/04/2023,"R$ 9,69",Kenvue 
Amoxilina 20mg,27/08/2023,"R$ 9,69",Kenvue 
Amoxilina 20mg,09/12/2025,"R$ 9,69",Kenvue 
Amoxilina 20mg,08/02/2026,"R$ 9,69",Kenvue 
Amoxilina 20mg,07/05/2024,"R$ 9,69",Kenvue 
Amoxilina 20mg,10/08/2024,"R$ 9,69",Kenvue 
Amoxilina 20mg,06/03/2026,"R$ 9,69",Kenvue 
Amoxilina 20mg,27/12/2025,"R$ 9,69",Kenvue 
Amoxilina 20mg,30/09/2025,"R$ 9,69",Kenvue 
Amoxilina 20mg,16/09/2025,"R$ 9,69",Kenvue 
Amoxilina 20mg,18/08/2023,"R$ 9,69",Kenvue 
Amoxilina 20mg,02/09/2025,"R$ 9,69",Kenvue 
Amoxilina 20mg,05/04/2026,"R$ 9,69",Kenvue 
Amoxilina 20mg,06/02/2025,"R$ 9,69",Kenvue 
Amoxilina 20mg,12/12/2024,"R$ 9,69",Kenvue 
Amoxilina 20mg,21/05/2024,"R$ 9,69",Kenvue 
Amoxilina 20mg,01/09/2024,"R$ 9,69",Kenvue 
Amoxilina 20mg,05/04/2025,"R$ 9,69",Kenvue 
Amoxilina 20mg,15/05/2023,"R$ 9,69",Kenvue 
Amoxilina 20mg,07/06/2025,"R$ 9,69",Kenvue 
